,display_name,name,start_date,end_date,type
150258.XSHE,生物B,SWB,2015-06-11,2020-11-30,fjb
150259.XSHE,重组A,ZZA,2015-06-11,2020-12-31,fja
150260.XSHE,重组B,ZZB,2015-06-11,2020-12-31,fjb
150261.XSHE,医疗A,YLA,2015-06-08,2020-12-31,fja
150262.XSHE,医疗B,YLB,2015-06-08,2020-12-31,fjb
150263.XSHE,1000A,1000A,2015-06-16,2020-11-17,fja
150264.XSHE,1000B,1000B,2015-06-16,2020-11-17,fjb
150265.XSHE,一带A,YDA,2015-05-22,2020-11-04,fja
150266.XSHE,一带B,YDB,2015-05-22,2020-11-04,fjb
150267.XSHE,银行A类,YHAL,2015-06-18,2020-08-03,fja
150268.XSHE,银行B类,YHBL,2015-06-18,2020-08-03,fjb
150269.XSHE,白酒A,BJA,2015-06-05,2020-12-31,fja
150270.XSHE,白酒B,BJB,2015-06-05,2020-12-31,fjb
150271.XSHE,生物药A,SWYA,2015-06-05,2020-12-31,fja
150272.XSHE,生物药B,SWYB,2015-06-05,2020-12-31,fjb
150273.XSHE,带路A,DLA,2015-05-25,2020-12-31,fja
150274.XSHE,带路B,DLB,2015-05-25,2020-12-31,fjb
150275.XSHE,一带一A,YDYA,2015-05-22,2020-12-31,fja
150276.XSHE,一带一B,YDYB,2015-05-22,2020-12-31,fjb
150277.XSHE,高铁A,GTA,2015-06-05,2020-12-31,fja
150278.XSHE,高铁B,GTB,2015-06-05,2020-12-31,fjb
150279.XSHE,新能A,XNA,2015-06-05,2020-07-13,fja
150280.XSHE,新能B,XNB,2015-06-05,2020-07-13,fjb
150281.XSHE,金融地A,JRDA,2015-06-26,2020-11-26,fja
150282.XSHE,金融地B,JRDB,2015-06-26,2020-11-26,fjb
150283.XSHE,SW医药A,SWYYA,2015-07-06,2020-12-31,fja
150284.XSHE,SW医药B,SWYYB,2015-07-06,2020-12-31,fjb
150287.XSHE,钢铁A,GTA,2015-06-29,2020-12-31,fja
150288.XSHE,钢铁B,GTB,2015-06-29,2020-12-31,fjb
150289.XSHE,煤炭A级,MTAJ,2015-07-03,2020-12-31,fja
150290.XSHE,煤炭B级,MTBJ,2015-07-03,2020-12-31,fjb
150291.XSHE,银行A份,YHAF,2015-06-15,2020-10-12,fja
150292.XSHE,银行B份,YHBF,2015-06-15,2020-10-12,fjb
150293.XSHE,高铁A级,GTAJ,2015-06-23,2020-11-27,fja
150294.XSHE,高铁B级,GTBJ,2015-06-23,2020-11-27,fjb
150295.XSHE,改革A,GGA,2015-06-15,2020-11-27,fja
150296.XSHE,改革B,GGB,2015-06-15,2020-11-27,fjb
150297.XSHE,互联A级,HLAJ,2015-07-13,2020-11-27,fja
150298.XSHE,互联B级,HLBJ,2015-07-13,2020-11-27,fjb
150299.XSHE,银行股A,YHGA,2015-06-18,2020-12-31,fja
150300.XSHE,银行股B,YHGB,2015-06-18,2020-12-31,fjb
150301.XSHE,证券股A,ZQGA,2015-06-18,2020-12-31,fja
150302.XSHE,证券股B,ZQGB,2015-06-18,2020-12-31,fjb
150303.XSHE,创业股A,CYGA,2015-07-15,2020-12-31,fja
150304.XSHE,创业股B,CYGB,2015-07-15,2020-12-31,fjb
150305.XSHE,养老A,YLA,2015-07-10,2019-03-28,fja
150306.XSHE,养老B,YLB,2015-07-10,2019-03-28,fjb
150307.XSHE,体育A,TYA,2015-07-06,2020-12-31,fja
150308.XSHE,体育B,TYB,2015-07-06,2020-12-31,fjb
150309.XSHE,信息安A,XXAA,2015-07-15,2020-12-31,fja
150310.XSHE,信息安B,XXAB,2015-07-15,2020-12-31,fjb
150311.XSHE,智能A,ZNA,2015-07-15,2020-12-31,fja
150312.XSHE,智能B,ZNB,2015-07-15,2020-12-31,fjb
150315.XSHE,工业4A,GY4A,2015-06-25,2020-12-31,fja
150316.XSHE,工业4B,GY4B,2015-06-25,2020-12-31,fjb
150317.XSHE,E金融A,EJRA,2015-07-08,2020-11-05,fja
150318.XSHE,E金融B,EJRB,2015-07-08,2020-11-05,fjb
150321.XSHE,煤炭A基,MTAJ,2015-06-30,2020-12-31,fja
150322.XSHE,煤炭B基,MTBJ,2015-06-30,2020-12-31,fjb
150323.XSHE,环保A端,HBAD,2015-07-27,2020-07-27,fja
150324.XSHE,环保B端,HBBD,2015-07-27,2020-07-27,fjb
150325.XSHE,高铁A端,GTAD,2015-08-05,2020-11-03,fja
150326.XSHE,高铁B端,GTBD,2015-08-05,2020-11-03,fjb
150327.XSHE,新能A级,XNAJ,2015-08-03,2020-10-16,fja
150328.XSHE,新能B级,XNBJ,2015-08-03,2020-10-16,fjb
150329.XSHE,保险A,BXA,2015-08-11,2020-12-31,fja
150330.XSHE,保险B,BXB,2015-08-11,2020-12-31,fjb
150331.XSHE,网金融A,WJRA,2015-08-10,2018-08-06,fja
150332.XSHE,网金融B,WJRB,2015-08-10,2018-08-06,fjb
150335.XSHE,军工股A,JGGA,2015-07-13,2020-11-27,fja
150336.XSHE,军工股B,JGGB,2015-07-13,2020-11-27,fjb
150343.XSHE,证券A基,ZQAJ,2015-08-03,2020-11-18,fja
150344.XSHE,证券B基,ZQBJ,2015-08-03,2020-11-18,fjb
159001.XSHE,货币ETF,BZJ,2014-10-20,2200-01-01,etf
159003.XSHE,招商快线ETF,ZSKX,2014-10-20,2200-01-01,etf
159005.XSHE,汇添富快钱ETF,TFKQ,2015-01-13,2200-01-01,etf
159150.XSHE,深证50ETF易方达,SZ50ETFYFD,2023-12-11,2200-01-01,etf
159300.XSHE,300ETF,300ETF,2024-06-05,2200-01-01,etf
159306.XSHE,汽车零件ETF,QCLJETF,2024-05-14,2200-01-01,etf
159307.XSHE,红利低波100ETF,HLDB100ETF,2024-04-25,2200-01-01,etf
159309.XSHE,油气资源ETF,YQZYETF,2024-06-18,2200-01-01,etf
159310.XSHE,芯片产业ETF,XPCYETF,2024-04-30,2200-01-01,etf
159315.XSHE,黄金股ETF基金,HJGETFJJ,2024-06-14,2200-01-01,etf
159318.XSHE,恒生港股通ETF,HSGGTETF,2024-06-21,2200-01-01,etf
159321.XSHE,黄金股票ETF,HJGPETF,2024-05-27,2200-01-01,etf
159322.XSHE,黄金产业ETF,HJCYETF,2024-06-14,2200-01-01,etf
159350.XSHE,深证50ETF富国,SZ50ETFFG,2023-12-11,2200-01-01,etf
159501.XSHE,纳斯达克指数ETF,NSDKZSETF,2023-06-14,2200-01-01,etf
159502.XSHE,标普生物科技ETF,BPSWKJETF,2024-01-10,2200-01-01,etf
159503.XSHE,财富管理ETF,CFGLETF,2023-07-20,2200-01-01,etf
159505.XSHE,国证2000指数ETF,GZ2000ZSETF,2023-12-04,2200-01-01,etf
159506.XSHE,恒生医疗ETF,HSYLETF,2023-07-03,2200-01-01,etf
159507.XSHE,电信ETF,DXETF,2023-06-21,2200-01-01,etf
159508.XSHE,生物医药ETF基金,SWYYETFHA,2023-07-14,2200-01-01,etf
159509.XSHE,纳指科技ETF,NZKJETF,2023-08-08,2200-01-01,etf
159510.XSHE,沪深300价值ETF,HS300JZETF,2023-08-16,2200-01-01,etf
159511.XSHE,通信ETF基金,TXFWETF,2023-08-07,2200-01-01,etf
159512.XSHE,汽车ETF,QCETF,2023-07-25,2200-01-01,etf
159513.XSHE,纳斯达克100指数ETF,NSDK100ZSETF,2023-07-28,2200-01-01,etf
159515.XSHE,国企红利ETF,GQHLETF,2023-09-06,2200-01-01,etf
159516.XSHE,半导体设备ETF,BDTSBCLETF,2023-07-27,2200-01-01,etf
159517.XSHE,800增强ETF,800ZQETF,2023-09-05,2200-01-01,etf
159518.XSHE,标普油气ETF,BPYQETF,2023-11-15,2200-01-01,etf
159519.XSHE,港股国企ETF,GGGQETF,2023-08-31,2200-01-01,etf
159520.XSHE,消费龙头ETF,XFLTETF,2023-10-31,2200-01-01,etf
159521.XSHE,2000指数ETF,2000ZSETF,2023-09-07,2200-01-01,etf
159522.XSHE,国证2000ETF景顺,2000ETFJJ,2023-10-16,2200-01-01,etf
159523.XSHE,沪深300成长ETF,HS300CZETF,2023-09-19,2200-01-01,etf
159525.XSHE,红利低波ETF,HLDBETF,2024-05-20,2200-01-01,etf
159526.XSHE,机器人指数ETF,JQRZSETF,2024-04-24,2200-01-01,etf
159527.XSHE,数据ETF,SJETF,2024-02-01,2200-01-01,etf
159528.XSHE,国企改革ETF,GQGGETF,2024-05-20,2200-01-01,etf
159529.XSHE,标普消费ETF,BPXFETF,2024-02-02,2200-01-01,etf
