code,pe_ratio,pb_ratio,total_assets,net_profit,roe
000639.XSHE,-8.7005,1.4103,6946466137.51,54126623.76,1.71
000650.XSHE,14.0981,1.5466,7970195347.36,224331845.87,3.11
000651.XSHE,6.8897,1.6122,385937436431.4,7172652454.76,6.82
000652.XSHE,32.1239,1.0209,41661485236.63,12228779.29,0.68
000655.XSHE,23.6575,1.3311,3726296092.22,70852632.24,2.21
000657.XSHE,26.2492,2.0629,12970048170.7,93797208.43,1.29
000659.XSHE,-24.8282,7.3278,1954343394.18,-17899368.41,-4.15
000661.XSHE,13.7593,2.7658,29657587175.77,1575960781.9,7.05
000663.XSHE,36.0856,2.6028,1476124841.84,26695766.92,2.56
000665.XSHE,-9.4048,0.9940000000000001,11025592540.05,-139327892.79,-2.47
000668.XSHE,-43.4256,1.5732,2106018482.04,-3544806.68,-0.3
000670.XSHE,-225.016,97.3403,1903835644.01,3508582.93,-10.48
000672.XSHE,9.7274,0.8878,19233172110.64,143034617.22,1.94
000676.XSHE,-30.9093,3.0149,4697774396.47,99098968.46,2.08
000677.XSHE,61.6478,6.3661,1298327664.14,29908726.99,3.3
000678.XSHE,-34.8039,3.5779,2559823431.22,-5978816.11,-0.59
000679.XSHE,-67.23899999999999,5.5329,971168710.87,-10548684.83,-2.27
000680.XSHE,11.4421,1.4011,12638819515.72,201234803.82,3.86
000681.XSHE,72.7794,2.927,4234156526.08,35655445.55,0.9
000682.XSHE,21.4942,2.4592,10229401199.67,123950390.2,3.29
000683.XSHE,12.059000000000001,1.6113,33167570354.38,599536831.9,3.39
000685.XSHE,8.8513,0.6642,27404182619.08,259985672.13,1.59
000686.XSHE,31.2549,0.9039,84118950698.83,29111842.74,0.16
000688.XSHE,481.8071,4.14,8203952856.23,-14318949.99,-0.21
000690.XSHE,15.1081,0.8112,21092135622.49,331232563.29,2.83
000691.XSHE,-18.4414,28.8801,644954496.03,-86125526.51,-83.06
000692.XSHE,-1.2869,-0.731,4719627315.42,-109147950.32,4.51
000695.XSHE,-59.7646,12.573,636689967.31,-2883939.36,-1.32
000697.XSHE,-7.0862,-8.2512,3064903826.54,-106154090.61,17.27
000698.XSHE,-1.8811,2.0412,6397399135.12,-64209718.17,-3.74
000700.XSHE,13.1129,1.7967,9157909014.08,190246886.1,5.4
000701.XSHE,-81.6973,4.1469,20448663199.64,-216909799.34,-3.7
000702.XSHE,-24.7438,4.2551,806605838.74,-9213937.61,-1.09
000703.XSHE,-11.2471,1.0323,115621096392.85,196240495.73,0.52
000705.XSHE,37.8631,1.8478,3040092928.16,19208010.63,0.96
000707.XSHE,6.4306,1.9319,2909920531.7,157332655.58,8.54
000708.XSHE,11.9371,1.9316,117395107509.36,1394440917.64,3.66
000709.XSHE,21.2261,0.429,256909375510.41,336095815.07,0.51
000710.XSHE,-10.9026,1.8779,3090505398.03,-39348661.46,-1.82
000712.XSHE,-30.8972,5.0731,20130254314.11,-124730329.61,-4.14
000713.XSHE,163.1082,2.4965,3283057535.02,-28134330.5,-1.24
000715.XSHE,25.8475,1.6740000000000002,2583944987.39,27968990.67,1.54
000716.XSHE,-42.7095,1.7778,4445900879.71,31923965.25,1.06
